StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,anxious,overwhelmed,unmotivated,relaxed,energetic,motivated,AHS1,AHS2,AHS3,AHS4,AHS5,AHS6,AHS7,AHS8,AHS9,AHS10,AHS11,AHS12,FSQ_Similarity1,FSQ_Similarity2,FSQ_Similarity3,FSQ_Similarity4,FSQ_Vividness1,FSQ_Vividness2,FSQ_Vividness3,FSQ_Positivity1,FSQ_Positivity2,FSQ_Positivity3,user_id,cond
2025-10-06 17:17:16,2025-10-06 17:19:58,0,73.191.242.28,100,162,1,2025-10-06 17:19:58,R_3LwoHHwu9a1ZrMB,,,,,42.4095,-82.947,anonymous,EN,1,2,7,5,5,1,3,7,5,8,8,3,7,1,8,8,3,6,5,2,4,2,2,1,1,1,4,5,6,663a5c3c9ca80f412652721d,voice
2025-10-06 17:17:12,2025-10-06 17:20:51,0,73.187.160.100,100,218,1,2025-10-06 17:20:52,R_5a8rhGn9xq1DAh0,,,,,39.9649,-77.0086,anonymous,EN,1,5,5,4,4,3,4,6,6,7,5,4,7,8,6,4,5,6,5,2,2,4,4,2,2,2,3,3,3,6722ae0741429fa41d8893db,text
2025-10-06 17:29:16,2025-10-06 17:35:15,0,174.227.250.38,100,359,1,2025-10-06 17:35:16,R_7y528zSVaytAU9j,,,,,28.5177,-81.4508,anonymous,EN,1,1,2,1,7,6,7,8,7,1,8,1,8,6,8,7,8,1,7,4,2,3,2,3,4,2,3,4,3,6722b6b9cb69415ce7f4c688,voice
2025-10-06 17:34:40,2025-10-06 17:36:53,0,74.68.36.169,100,132,1,2025-10-06 17:36:53,R_19wZnyiKzozaWFr,,,,,40.7157,-74,anonymous,EN,1,3,3,5,5,3,3,6,6,1,6,3,7,7,6,6,3,6,5,2,2,3,3,2,2,1,3,3,3,663a7af013938e6bbfb065d5,text
2025-10-06 17:35:16,2025-10-06 17:37:10,0,35.145.40.128,100,114,1,2025-10-06 17:37:10,R_7rA6Q0CWxxbZvN6,,,,,28.5464,-81.2585,anonymous,EN,1,2,2,2,6,6,6,7,7,2,7,2,6,2,6,7,6,3,6,2,5,5,5,2,2,2,5,5,5,66ecded667f721bca7e5609d,text
2025-10-06 17:39:53,2025-10-06 17:44:22,0,174.231.132.74,100,268,1,2025-10-06 17:44:22,R_6UYtG9LzslsxvVZ,,,,,47.6109,-122.3303,anonymous,EN,1,5,1,2,6,5,5,6,6,5,5,7,6,8,5,2,3,6,5,3,3,4,4,2,4,2,2,3,3,671d553e0d035028da7d29a1,text
2025-10-06 17:44:15,2025-10-06 17:45:23,0,70.228.76.115,100,68,1,2025-10-06 17:45:24,R_13LvvIZfxVy11Zf,,,,,37.26,-121.9173,anonymous,EN,1,2,2,2,6,3,6,7,6,3,6,3,8,6,7,8,5,6,7,4,4,4,4,3,2,3,4,4,4,57d6dd8d6598aa000199188b,text
2025-10-06 17:42:11,2025-10-06 17:46:50,0,73.91.134.135,100,279,1,2025-10-06 17:46:50,R_3TXjQoBx9seF7ME,,,,,35.164,-89.7826,anonymous,EN,1,2,5,7,5,5,3,5,7,5,7,4,3,7,4,4,2,7,4,3,6,4,6,1,1,1,2,3,3,6630f48f17953c0cd655713e,text
2025-10-06 17:46:22,2025-10-06 17:48:22,0,24.45.3.35,100,120,1,2025-10-06 17:48:22,R_6ctS1jmQWFtwBcN,,,,,40.8731,-74.7426,anonymous,EN,1,2,3,2,5,3,3,6,5,3,6,3,5,3,6,6,6,3,5,4,4,4,4,3,3,3,4,4,4,677991de3695b0255b8c8bd2,avatar
2025-10-06 17:48:08,2025-10-06 17:53:55,0,108.54.202.16,100,347,1,2025-10-06 17:53:56,R_7TBVxpNf8iESOQx,,,,,40.6764,-73.8753,anonymous,EN,1,6,5,6,2,1,2,7,5,7,7,2,8,8,5,7,5,8,5,1,3,3,4,3,2,4,4,5,5,663a3ec623585cdc234e2dc5,text
