Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e4521d36ba08c504596c3e,66ecded667f721bca7e5609d,APPROVED,Not Applicable,2025-10-06T23:35:07.950000Z,2025-10-06T23:52:55.562000Z,2025-10-27T00:03:38.192000Z,2025-10-06T23:53:00.537476Z,1068.0,CUKPH3D8,3300,33,Male,White,United States,United States,United States,English,No,Full-Time
68e452ae0938c32ef9a45913,671c5ad0eb30c87c11b22ec4,RETURNED,Not Applicable,2025-10-06T23:37:28.719000Z,,,2025-10-09T14:48:00.422830Z,,,1996,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e452caf46a4697d6d0803e,6630f48f17953c0cd655713e,RETURNED,Not Applicable,2025-10-06T23:37:52.999000Z,2025-10-07T00:24:21.546000Z,,2025-10-29T16:44:58.090149Z,,CUKPH3D8,28,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e453275576cb1ccb73ff01,610508c09d61c098f072605b,APPROVED,Not Applicable,2025-10-06T23:39:50.796000Z,2025-10-07T00:32:33.223000Z,2025-10-28T00:03:02.261000Z,2025-10-07T00:32:33.600689Z,3163.0,CUKPH3D8,5110,28,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e453281c742c155d994e6e,671d553e0d035028da7d29a1,APPROVED,Not Applicable,2025-10-06T23:39:38.692000Z,2025-10-07T00:16:49.146000Z,2025-10-28T00:03:02.614000Z,2025-10-07T00:16:52.453268Z,2231.0,CUKPH3D8,2762,34,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
68e453756be6a6702376d499,60bec2aeb32067ea868876ec,RETURNED,Not Applicable,2025-10-06T23:42:12.062000Z,,,2025-10-09T14:48:00.456586Z,,,2750,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e453a04c092bbe0c82b1c8,57d6dd8d6598aa000199188b,APPROVED,Not Applicable,2025-10-06T23:41:30.688000Z,2025-10-07T00:07:46.401000Z,2025-10-28T00:03:03.041000Z,2025-10-07T00:13:50.958956Z,1576.0,CUKPH3D8,12358,36,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
68e454acc9439bc9e2775368,6643a23e1668916a901333d9,RETURNED,Not Applicable,2025-10-06T23:45:57.392000Z,,,2025-10-09T14:48:00.429998Z,,,4138,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e45539aae0cb31ee0d0a2d,67042cdf06ed4052bdf44c07,RETURNED,Not Applicable,2025-10-06T23:59:00.378000Z,,,2025-10-09T14:48:00.438384Z,,,1100,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4570745e490c9fc62da68,5a98d411f05361000171ebe7,APPROVED,Not Applicable,2025-10-06T23:55:57.860000Z,2025-10-07T00:17:07.807000Z,2025-10-28T00:03:03.478000Z,2025-10-07T00:17:08.380612Z,1270.0,CUKPH3D8,2003,35,Female,White,United States,United States,United States,English,No,Full-Time
68e457683c8989106587ecc1,5930c7fdfa699e0001017cc1,APPROVED,Not Applicable,2025-10-07T00:02:28.577000Z,2025-10-07T00:35:04.693000Z,2025-10-28T00:03:04.193000Z,2025-10-07T00:35:05.107596Z,1957.0,CUKPH3D8,2004,37,Male,White,United States,United States,United States,English,No,Full-Time
68e45a342068624988775571,6682c4fcefd32e38eb8197b2,RETURNED,Not Applicable,2025-10-07T00:09:27.900000Z,,,2025-10-09T14:48:00.432875Z,,,1659,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e45b53dbe927743114a665,6287a504c4cb277cf781b6bb,APPROVED,Not Applicable,2025-10-07T00:14:16.328000Z,2025-10-07T01:22:36.512000Z,2025-10-28T00:03:04.685000Z,2025-10-07T01:22:37.302901Z,4101.0,CUKPH3D8,5101,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e45ca2c0d4b93931398a6a,668525b0e1eff8d40c686ec0,APPROVED,Not Applicable,2025-10-07T00:19:50.502000Z,2025-10-07T01:04:43.106000Z,2025-10-28T00:03:05.219000Z,2025-10-07T01:04:43.575974Z,2693.0,CUKPH3D8,836,36,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e45cbb5ab61b6f9b9bd201,673378009f99d14c232c1f2b,APPROVED,Not Applicable,2025-10-07T00:20:22.804000Z,2025-10-07T01:14:22.230000Z,2025-10-28T00:03:06.094000Z,2025-10-07T01:14:22.684242Z,3240.0,CUKPH3D8,4714,38,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
68e45d2064a5cf2de92ea06c,663a4e1d7e5525f5851d04c5,APPROVED,Not Applicable,2025-10-07T00:21:56.472000Z,2025-10-07T01:14:47.139000Z,2025-10-28T00:03:06.724000Z,2025-10-07T01:14:47.531668Z,3171.0,CUKPH3D8,1628,27,DATA_EXPIRED,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e465836be6a6702376d573,663a5fa6c0dd77f659a12550,RETURNED,Not Applicable,2025-10-07T00:57:44.233000Z,,,2025-10-09T14:48:00.435899Z,,,528,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e465fd29cf124179226fb0,66bd0b8a2d07447ae9a52ec3,RETURNED,Not Applicable,2025-10-07T00:59:44.230000Z,,,2025-10-09T14:48:00.433099Z,,,1374,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4662a2a527a84a2af2ff2,64309be1d7d085ed8ee4c129,APPROVED,Not Applicable,2025-10-07T01:01:58.748000Z,2025-10-07T01:39:08.459000Z,2025-10-28T00:03:07.734000Z,2025-10-07T01:39:13.041185Z,2230.0,CUKPH3D8,6534,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
